"DARPA's ALASA Could Pave Way For Cheaper, Faster Satellite Launches",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/2UHHozCW9js/story01.htm,"hypnosec writes DARPA is all set to take its Airborne Launch Assist Space Access module (ALASA) program to the next level after the program has shown promising results toward its mission of sending 100-pound satellites into low Earth orbit (LEO) for just $1 million per launch."" ALASA is a new program that seeks to streamline production and encourage re-usability and interchangeability in satellite systems.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=DARPA's+ALASA+Could+Pave+Way+For+Cheaper%2C+Faster+Satellite+Launches%3A+http%3A%2F%2Fbit.ly%2F1zKhyBG""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F02%2F08%2F0048222%2Fdarpas-alasa-could-pave-way-for-cheaper-faster-satellite-launches%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/02/08/0048222/darpas-alasa-could-pave-way-for-cheaper-faster-satellite-launches?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/15/02/08/0048222/darpas-alasa-could-pave-way-for-cheaper-faster-satellite-launches?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6929407&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/43292864/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611556576/u/49/f/647410/c/35028/s/43292864/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/2UHHozCW9js"" height=""1"" width=""1"" alt=""""/>"
"Dell Venue 8 7000, ""Word's Thinnest Tablet"" With Intel Moorefield Atom, Reviewed",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/waQrMrBHDpE/story01.htm,"MojoKid (1002251) writes ""Dell recently launched their Android-based Venue 8 7000 slate, claiming it's the ""world's thinnest"" tablet. It measures a mere 6 millimeters thick, or 0.24 inches and change. That's 0.1mm slimmer than Apple's iPad Air 2 and 1.5mm flatter than the iPad mini 3, giving Dell full bragging rights, even if by a hair. Dell also opted for an Intel Atom Z3580 processor under the hood, clocked at up to 2.3GHz. This quad-core part is built on Intel's 22nm Moorefield microarchitecture. Compared to its Bay Trail predecessor, Moorefield comes in a smaller package with superior thermal attributes, as well as better graphics performance, courtesy of its PowerVR G6430 graphics core. The Venue 8 7000 also features one of the best 8-inch OLED displays on the market, with edge-to-edge glass and a 2560x1600 resolution. Finally, the Venue 8 7000 is also the first to integrate Intel's RealSense Snapshot Depth Camera, which offers interesting re-focusing and stereoscopic effects, with potentially other, more interesting use cases down the road. Performance-wise, the Venue 8 7000 is solid enough though not a speedster, putting out metrics in the benchmarks that place it in the middle of the pack of premium tablets on the market currently.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Dell+Venue+8+7000%2C+%22Word's+Thinnest+Tablet%22+With+Intel+Moorefield+Atom%2C+Reviewed%3A+http%3A%2F%2Fbit.ly%2F1IptnV9""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F15%2F02%2F07%2F1622212%2Fdell-venue-8-7000-words-thinnest-tablet-with-intel-moorefield-atom-reviewed%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/15/02/07/1622212/dell-venue-8-7000-words-thinnest-tablet-with-intel-moorefield-atom-reviewed?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/15/02/07/1622212/dell-venue-8-7000-words-thinnest-tablet-with-intel-moorefield-atom-reviewed?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6926119&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432706f6/sc/28/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/a2.htm""><img src=""http://da.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611562602/u/49/f/647410/c/35028/s/432706f6/sc/28/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/waQrMrBHDpE"" height=""1"" width=""1"" alt=""""/>"
"Dell Venue 8 7000, ""World's Thinnest Tablet"" With Intel Moorefield Atom Reviewed",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/lZ6o8GcOyPk/story01.htm,"MojoKid (1002251) writes ""Dell recently launched their Android-based Venue 8 7000 slate, claiming it's the ""world's thinnest"" tablet. It measures a mere 6 millimeters thick, or 0.24 inches and change. That's 0.1mm slimmer than Apple's iPad Air 2 and 1.5mm flatter than the iPad mini 3, giving Dell full bragging rights, even if by a hair. Dell also opted for an Intel Atom Z3580 processor under the hood, clocked at up to 2.3GHz. This quad-core part is built on Intel's 22nm Moorefield microarchitecture. Compared to its Bay Trail predecessor, Moorefield comes in a smaller package with superior thermal attributes, as well as better graphics performance, courtesy of its PowerVR G6430 graphics core. The Venue 8 7000 also features one of the best 8-inch OLED displays on the market, with edge-to-edge glass and a 2560x1600 resolution. Finally, the Venue 8 7000 is also the first to integrate Intel's RealSense Snapshot Depth Camera, which offers interesting re-focusing and stereoscopic effects, with potentially other, more interesting use cases down the road. Performance-wise, the Venue 8 7000 is solid enough though not a speedster, putting out metrics in the benchmarks that place it in the middle of the pack of premium tablets on the market currently.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Dell+Venue+8+7000%2C+%22World's+Thinnest+Tablet%22+With+Intel+Moorefield+Atom+Reviewed%3A+http%3A%2F%2Fbit.ly%2F1IptnV9""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F15%2F02%2F07%2F1622212%2Fdell-venue-8-7000-worlds-thinnest-tablet-with-intel-moorefield-atom-reviewed%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/15/02/07/1622212/dell-venue-8-7000-worlds-thinnest-tablet-with-intel-moorefield-atom-reviewed?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/15/02/07/1622212/dell-venue-8-7000-worlds-thinnest-tablet-with-intel-moorefield-atom-reviewed?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6926119&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4327a097/sc/28/mf.gif' border='0'/><br clear='all'/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/lZ6o8GcOyPk"" height=""1"" width=""1"" alt=""""/>"
Earth's Libration Visualized For the First Time Above the Moon's Far Side,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/BZh3E2GG2sU/story01.htm,"StartsWithABang writes Thanks to the fact that the Moon is tidally locked, we can only see 50% of its surface on any given night. Over time, the fact that the Moon's orbit is elliptical, and that it moves faster at perigee and slower at apogee means that up to another 9% is visible over the course of many years. The observed ""rocking"" and growing/shrinking of the Moon over time is known as lunar libration, an incredibly interesting phenomenon. But now, for the first time, we've been able to visualize how the Earth appears to move as seen from above the far side of the Moon.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Earth's+Libration+Visualized+For+the+First+Time+Above+the+Moon's+Far+Side%3A+http%3A%2F%2Fbit.ly%2F1zjrgHD""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F02%2F07%2F2337213%2Fearths-libration-visualized-for-the-first-time-above-the-moons-far-side%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/02/07/2337213/earths-libration-visualized-for-the-first-time-above-the-moons-far-side?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/15/02/07/2337213/earths-libration-visualized-for-the-first-time-above-the-moons-far-side?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6928943&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432820c3/sc/10/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/a2.htm""><img src=""http://da.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611549686/u/49/f/647410/c/35028/s/432820c3/sc/10/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/BZh3E2GG2sU"" height=""1"" width=""1"" alt=""""/>"
"For Saudis and Pakistan, a Bird of Contention (New York Times)",http://news.feedzilla.com/en_us/stories/science/421030610?client_source=api&format=json,"The High Court in Baluchistan has canceled all foreign permits to hunt the
houbara bustard in response to complaints from conservationists.

"
"For These Plants, No Victim Is Too Small (Scientific American)",http://news.feedzilla.com/en_us/stories/science/420843996?client_source=api&format=json,"The tropical plant Genlisea is a tiny, homely rosette of simple green leaves.
If you dig up its roots, you will find what look like an unremarkable bunch
long, pale underground roots.


-- Read more on ScientificAmerican.com

"
Google Earth Pro Now Available Free,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/ryPVezqyrqM/story01.htm,"HughPickens.com writes Google has long offered a Pro version of Google Earth for $399 per year that includes some pretty cool extras not found in the free version. Now Rick Broida reports at Cnet that you can get Google Earth Pro absolutely free. All you have to do is download the installer, run it, then sign in using your e-mail address (as your username) and license code GEPFREE. Features include: Advanced measurements: Measure parking lots and land developments with polygon area measure, or determine affected radius with circle measure; High-resolution printing: Print images up to 4,800 x 3,200 pixel resolution; Exclusive pro data layers with Demographics and traffic count; Spreadsheet import: Ingest up to 2,500 addresses at a time, assigning place marks and style templates in bulk; and Movie-Maker: Export Windows Media and QuickTime HD movies, up to 1,920x1,080-pixel resolution. If you've ever been involved in a property dispute, you'll know how acrimonious they can get. Google Earth Pro includes parcel data that definitively defines property boundaries. ""Do you really need this? Probably not, as Pro was created with business/enterprise users in mind,"" writes Broida. ""Let's be honest, [Google Earth Pro has] entertainment value that's virtually impossible to measure.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Google+Earth+Pro+Now+Available+Free%3A+http%3A%2F%2Fbit.ly%2F1DablkN""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fsearch.slashdot.org%2Fstory%2F15%2F02%2F08%2F1854255%2Fgoogle-earth-pro-now-available-free%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://search.slashdot.org/story/15/02/08/1854255/google-earth-pro-now-available-free?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://search.slashdot.org/story/15/02/08/1854255/google-earth-pro-now-available-free?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6934523&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432cc37c/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611594233/u/49/f/647410/c/35028/s/432cc37c/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/ryPVezqyrqM"" height=""1"" width=""1"" alt=""""/>"
Lack of ice hampers efforts to net homely invasive fish (The Arizona Republic),http://news.feedzilla.com/en_us/stories/science/420868007?client_source=api&format=json,"CHEYENNE, Wyo. (AP) -- Warm weather has helped grant a reprieve this year to a
homely, eel-like and especially slimy fish pursued by anglers as they compete
for big money in two annual ice-fishing tournaments at a reservoir on the
Wyoming-Utah line....

"
Midamar exhibits at Gulfood and launches new premium chicken line for foodservice sector (AME ),http://news.feedzilla.com/en_us/stories/science/421049845?client_source=api&format=json,"Jalel Aossey, Midamar owner to speak at Gulfood Franchising Forum on February
11

"
"Mystery Ash Clouds Rain In Parts of Washington, Oregon",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/AkR-Go-hb80/story01.htm,"Inland parts of Oregon and Washington, as well as Idaho, have experienced a strange, murky rain today that contains what seems to be volcanic ash, though ash from which volcano isn't completely clear. Experts said they are checking out several possible explanations including a recent volcanic eruption in Mexico and one in Russia. The weather service said the rainstorm may have passed through some dust or volcanic ash as it moved west. Walla Walla County's emergency management staff posted a statement on its Facebook page that the ash is likely from Volcano Shiveluch in Kamchatka Krai, Russia, some 3,000 miles away. Volcano Shiveluch spewed an ash plume about 22,000 feet high in late January, the statement said.... CNN meteorologist Derek Van Dam, meanwhile, pointed to an eruption Wednesday of a volcano in southwestern Colima, Mexico, as another potential source of the dirty rain. That volcano is more than 2,000 miles away from the region. Time points out that other theories include leftover ash from last year&rsquo;s wildfires in Oregon in Idaho.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Mystery+Ash+Clouds+Rain+In+Parts+of+Washington%2C+Oregon%3A+http%3A%2F%2Fbit.ly%2F1CGxecR""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F02%2F08%2F0042241%2Fmystery-ash-clouds-rain-in-parts-of-washington-oregon%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/02/08/0042241/mystery-ash-clouds-rain-in-parts-of-washington-oregon?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/15/02/08/0042241/mystery-ash-clouds-rain-in-parts-of-washington-oregon?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6929363&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4328c4ae/sc/32/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/a2.htm""><img src=""http://da.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611553309/u/49/f/647410/c/35028/s/4328c4ae/sc/32/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/AkR-Go-hb80"" height=""1"" width=""1"" alt=""""/>"
NOAA space weather satellite to provide solar storm warning (CBS News),http://news.feedzilla.com/en_us/stories/science/421113815?client_source=api&format=json,"A SpaceX Falcon 9 rocket is poised to launch a NOAA space weather satellite
first proposed by Vice President Al Gore 17 years ago

"
NOAA/NASA/USAF Deep Space Climate Observatory (DSCOVR) Launching Feb. 8 to Monitor Solar Winds (Universe Today),http://news.feedzilla.com/en_us/stories/science/420981764?client_source=api&format=json,"The long awaited Deep Space Climate Observatory, or DSCOVR science satellite
is slated to blast off atop a SpaceX Falcon 9 on Sunday, Feb. 8, from Cape
Canaveral, Florida on a mission to monitor the solar wind and aid very
important forecasts of space weather at Earth. DSCOVR is a joint mission
between NOAA, NASA, […]

"
"NYPD Creates Fake Social Media Profiles To Track Loud Parties, Underage Drinking",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/3XWV1Kfj3No/story01.htm,"v3rgEz writes Is that Facebook friend request from the cute girl in third period, or an undercover officer looking to bust up the next high shool kegger? That's the question more students in New York City might be asking, as newly released documents from the NYPD disclose its process for agents creating undercover social media aliases with the aims of uprooting terrorist plots, tracking ""political activity,"" and other nefarious crimes like underage drinking or pre-meditated loud partying. Fake profiles must be approved by bureau brass, unless it would ""seriously impair"" an investigation or risk life or property damage.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=NYPD+Creates+Fake+Social+Media+Profiles+To+Track+Loud+Parties%2C+Underage+Drinking%3A+http%3A%2F%2Fbit.ly%2F1zJ1yzW""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F02%2F07%2F1933202%2Fnypd-creates-fake-social-media-profiles-to-track-loud-parties-underage-drinking%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/02/07/1933202/nypd-creates-fake-social-media-profiles-to-track-loud-parties-underage-drinking?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://yro.slashdot.org/story/15/02/07/1933202/nypd-creates-fake-social-media-profiles-to-track-loud-parties-underage-drinking?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6927473&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/43272b72/sc/8/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/a2.htm""><img src=""http://da.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611570508/u/49/f/647410/c/35028/s/43272b72/sc/8/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/3XWV1Kfj3No"" height=""1"" width=""1"" alt=""""/>"
